restaurant_id,restaurant_name,city,opening_hours
1,Restaurant_1,Jaipur,10:00-22:00
2,Restaurant_2,Ahmedabad,10:00-23:00
3,Restaurant_3,Lucknow,10:00-23:00
4,Restaurant_4,Ahmedabad,11:00-23:00
5,Restaurant_5,Ahmedabad,9:00-21:00
6,Restaurant_6,Lucknow,10:00-21:00
7,Restaurant_7,Ahmedabad,11:00-21:00
8,Restaurant_8,Mumbai,11:00-22:00
9,Restaurant_9,Bangalore,10:00-22:00
10,Restaurant_10,Mumbai,11:00-21:00
11,Restaurant_11,Bangalore,9:00-21:00
12,Restaurant_12,Lucknow,11:00-21:00
13,Restaurant_13,Kolkata,11:00-21:00
14,Restaurant_14,Ahmedabad,11:00-22:00
15,Restaurant_15,Bangalore,11:00-23:00
16,Restaurant_16,Hyderabad,10:00-22:00
17,Restaurant_17,Lucknow,10:00-23:00
18,Restaurant_18,Lucknow,11:00-21:00
19,Restaurant_19,Delhi,9:00-23:00
20,Restaurant_20,Mumbai,11:00-22:00
21,Restaurant_21,Chennai,10:00-23:00
22,Restaurant_22,Jaipur,10:00-21:00
23,Restaurant_23,Lucknow,9:00-21:00
24,Restaurant_24,Pune,10:00-22:00
25,Restaurant_25,Chennai,10:00-22:00
26,Restaurant_26,Pune,10:00-22:00
27,Restaurant_27,Hyderabad,9:00-23:00
28,Restaurant_28,Pune,9:00-21:00
29,Restaurant_29,Hyderabad,10:00-21:00
30,Restaurant_30,Delhi,10:00-22:00
31,Restaurant_31,Lucknow,9:00-23:00
32,Restaurant_32,Delhi,10:00-22:00
33,Restaurant_33,Hyderabad,9:00-22:00
34,Restaurant_34,Jaipur,11:00-23:00
35,Restaurant_35,Kolkata,9:00-23:00
36,Restaurant_36,Pune,11:00-21:00
37,Restaurant_37,Kolkata,10:00-21:00
38,Restaurant_38,Chennai,9:00-23:00
39,Restaurant_39,Jaipur,9:00-22:00
40,Restaurant_40,Ahmedabad,9:00-21:00
41,Restaurant_41,Jaipur,11:00-21:00
42,Restaurant_42,Jaipur,9:00-21:00
43,Restaurant_43,Hyderabad,10:00-21:00
44,Restaurant_44,Kolkata,11:00-22:00
45,Restaurant_45,Bangalore,11:00-22:00
46,Restaurant_46,Bangalore,9:00-23:00
47,Restaurant_47,Kolkata,11:00-21:00
48,Restaurant_48,Bangalore,11:00-22:00
49,Restaurant_49,Bangalore,11:00-22:00
50,Restaurant_50,Bangalore,11:00-21:00
51,Restaurant_51,Jaipur,10:00-22:00
52,Restaurant_52,Pune,11:00-21:00
53,Restaurant_53,Pune,11:00-22:00
54,Restaurant_54,Kolkata,9:00-22:00
55,Restaurant_55,Jaipur,9:00-23:00
56,Restaurant_56,Hyderabad,9:00-23:00
57,Restaurant_57,Hyderabad,11:00-22:00
58,Restaurant_58,Mumbai,11:00-21:00
59,Restaurant_59,Lucknow,10:00-21:00
60,Restaurant_60,Mumbai,9:00-22:00
61,Restaurant_61,Pune,10:00-23:00
62,Restaurant_62,Bangalore,11:00-21:00
63,Restaurant_63,Lucknow,11:00-23:00
64,Restaurant_64,Chennai,10:00-22:00
65,Restaurant_65,Delhi,11:00-21:00
66,Restaurant_66,Delhi,11:00-21:00
67,Restaurant_67,Mumbai,10:00-22:00
68,Restaurant_68,Ahmedabad,9:00-21:00
69,Restaurant_69,Kolkata,10:00-22:00
70,Restaurant_70,Chennai,9:00-22:00
71,Restaurant_71,Delhi,9:00-21:00
72,Restaurant_72,Hyderabad,9:00-21:00
73,Restaurant_73,Mumbai,10:00-21:00
74,Restaurant_74,Pune,9:00-22:00
75,Restaurant_75,Kolkata,11:00-22:00
76,Restaurant_76,Mumbai,11:00-23:00
77,Restaurant_77,Bangalore,11:00-23:00
78,Restaurant_78,Pune,10:00-22:00
79,Restaurant_79,Hyderabad,10:00-22:00
80,Restaurant_80,Lucknow,9:00-21:00
81,Restaurant_81,Lucknow,10:00-23:00
82,Restaurant_82,Delhi,9:00-21:00
83,Restaurant_83,Pune,9:00-22:00
84,Restaurant_84,Pune,10:00-22:00
85,Restaurant_85,Pune,9:00-23:00
86,Restaurant_86,Delhi,10:00-23:00
87,Restaurant_87,Hyderabad,10:00-22:00
88,Restaurant_88,Chennai,9:00-22:00
89,Restaurant_89,Hyderabad,9:00-23:00
90,Restaurant_90,Pune,9:00-21:00
91,Restaurant_91,Delhi,11:00-22:00
92,Restaurant_92,Chennai,9:00-22:00
93,Restaurant_93,Ahmedabad,10:00-22:00
94,Restaurant_94,Jaipur,11:00-23:00
95,Restaurant_95,Mumbai,10:00-23:00
96,Restaurant_96,Pune,11:00-23:00
